127.0.0.1 - - [19/Feb/2024:16:10:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:40:51 +0900] "GET /js/script.js HTTP/1.1" 404 823
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:40:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:50 +0900] "GET /jsp1/join.html HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:50 +0900] "GET /jsp1/css/style.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:50 +0900] "GET /jsp1/asset/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:51 +0900] "GET /jsp1/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:51 +0900] "GET /jsp1/css/style.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:56 +0900] "GET /jsp1/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:57 +0900] "GET /jsp1/css/style.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:41:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:42:16 +0900] "GET /jsp1/join.html HTTP/1.1" 200 5380
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:42:16 +0900] "GET /jsp1/asset/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:42:29 +0900] "GET /jsp1/welcome.jsp?formId=asdasd&formPw1=asdasd&formPw2=asdasd&name=asd&birth=1999-12-31&formsex=female&formtel=010-2222-2222&email=&adress1=&adress2=&adress3=&team=no+value HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:47:43 +0900] "GET /jsp1/join.html HTTP/1.1" 200 5394
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:47:43 +0900] "GET /jsp1/asset/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:47:43 +0900] "GET /jsp1/asset/images/img-embelm-128@2x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:47:43 +0900] "GET /jsp1/asset/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:47:44 +0900] "GET /jsp1/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:16:47:54 +0900] "POST /jsp1/welcome.jsp HTTP/1.1" 200 604
0:0:0:0:0:0:0:1 - - [19/Feb/2024:17:33:18 +0900] "GET /jsp1/join.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:17:33:18 +0900] "GET /jsp1/asset/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:17:33:18 +0900] "GET /jsp1/asset/images/img-embelm-128@2x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:17:33:18 +0900] "GET /jsp1/asset/js/script.js HTTP/1.1" 304 -
